fact_id,unique_id,time_id,location_id,indicator_key,batch_id,data_value
108,171721,19,88,5,1,18.88
109,174269,20,81,4,1,8.27
110,179441,20,4,5,1,18.71
111,171705,19,75,5,1,25.91
112,177318,19,134,4,1,10.78
113,172725,20,75,5,1,20.57
114,168630,19,22,4,1,12.77
115,172748,20,89,5,1,22.49
116,171717,19,87,5,1,24.72
117,179513,19,1,4,1,11.16
118,170404,20,39,4,1,14.26
119,165986,19,62,5,1,27.17
120,167799,20,46,5,1,16.87
121,174247,20,79,4,1,9.06
122,177309,19,114,4,1,11.27
123,167754,20,14,5,1,25.43
124,174252,20,77,4,1,8.69
125,176688,20,134,5,1,20.59
126,167766,20,58,5,1,17.44
127,179292,19,5,5,1,19.13
128,170424,20,28,4,1,10.09
129,167781,20,16,5,1,15.06
130,172728,20,73,5,1,16.36
131,171704,19,69,5,1,25.67
132,173229,19,80,4,1,11.63
133,175433,19,107,5,1,22.54
134,171715,19,98,5,1,26.15
135,167776,20,17,5,1,22.84
136,174267,20,87,4,1,8.51
137,178578,20,134,4,1,9.12
138,171709,19,99,5,1,27.35
139,168661,19,17,4,1,10.37
140,171726,19,85,5,1,21.87
141,178569,20,114,4,1,9.06
142,171702,19,77,5,1,25.3
143,170400,20,22,4,1,11.06
144,177319,19,103,4,1,10.14
145,171707,19,68,5,1,24.26
146,177343,19,131,4,1,9.27
147,176708,20,100,5,1,16.41
148,177312,19,119,4,1,12.26
149,167758,20,32,5,1,21.27
150,173227,19,79,4,1,11.27
151,165994,19,49,5,1,23.09
152,168666,19,16,4,1,9.67
153,168684,19,46,4,1,9.29
154,178600,20,115,4,1,8.21
155,173244,19,83,4,1,11.41
156,177327,19,111,4,1,11.37
157,174268,20,92,4,1,8.14
158,172722,20,77,5,1,20.19
159,176678,20,125,5,1,18.37
160,168654,19,28,4,1,11.72
161,173251,19,88,4,1,9.23
162,167787,20,37,5,1,21.36
163,168638,19,40,4,1,12.28
164,175428,19,134,5,1,25.84
165,167769,20,28,5,1,22.88
166,165987,19,43,5,1,27.63
167,168636,19,61,4,1,12.58
168,179137,20,65,5,1,18.83
169,171701,19,67,5,1,27.11
170,166015,19,18,5,1,26.06
171,168676,19,48,4,1,10.33
172,175443,19,135,5,1,31.08
173,168632,19,38,4,1,11.59
174,167757,20,43,5,1,22.94
175,170458,20,59,4,1,7.84
176,168667,19,23,4,1,10.19
177,176693,20,107,5,1,16.36
178,168669,19,12,4,1,10.43
179,166020,19,21,5,1,26.7
180,172742,20,95,5,1,32.1
181,178568,20,125,4,1,8.73
182,177308,19,125,4,1,10.59
183,172747,20,91,5,1,12.68
184,168643,19,32,4,1,11.88
185,178586,20,105,4,1,9.7
186,166016,19,24,5,1,22.68
187,165999,19,28,5,1,27.64
188,168657,19,13,4,1,10.39
189,171703,19,93,5,1,25.84
190,165984,19,14,5,1,29.9
191,175450,19,115,5,1,22.57
192,171728,19,89,5,1,26.99
193,175458,19,130,5,1,16.82
194,165996,19,58,5,1,21.02
195,177310,19,126,4,1,10.53
196,171714,19,83,5,1,26.98
197,170416,20,26,4,1,10.05
198,166008,19,6,5,1,24.96
199,178573,20,120,4,1,9.57
200,175429,19,103,5,1,25.67
201,166010,19,11,5,1,25.9
202,175449,19,128,5,1,24.72
203,168647,19,9,4,1,11.71
204,173225,19,82,4,1,11.33
205,173240,19,97,4,1,12.09
206,168659,19,44,4,1,11.05
207,173231,19,67,4,1,10.35
208,168645,19,30,4,1,12.44
209,168635,19,56,4,1,14.02
210,176683,20,120,5,1,21.54
211,175453,19,131,5,1,20.46
212,166032,19,52,5,1,19.14
213,174273,20,72,4,1,11.87
214,176717,20,141,5,1,14.69
215,175421,19,108,5,1,27.06
216,174272,20,95,4,1,12.09
217,178570,20,126,4,1,8.74
218,166031,19,55,5,1,22.98
219,176707,20,113,5,1,18.71
220,173246,19,78,4,1,9.89
221,167761,20,26,5,1,23.95
222,174260,20,97,4,1,9.48
223,168642,19,43,4,1,12.26
224,174265,20,98,4,1,9.13
225,175427,19,112,5,1,25.3
226,172729,20,99,5,1,22.72
227,178596,20,139,4,1,9.13
228,170441,20,24,4,1,8.16
229,170440,20,18,4,1,8.69
230,178571,20,108,4,1,9.75
231,174277,20,91,4,1,7.97
232,170426,20,8,4,1,8.82
233,179438,20,1,5,1,19.86
234,175441,19,116,5,1,37.34
235,175442,19,118,5,1,32.69
236,178607,20,141,4,1,8.22
237,175451,19,132,5,1,24.45
238,176692,20,102,5,1,18.58
239,175452,19,121,5,1,22.95
240,173228,19,86,4,1,10.53
241,167784,20,12,5,1,21.36
242,166012,19,23,5,1,25.29
243,174270,20,90,4,1,7.85
244,165992,19,9,5,1,26.22
245,173245,19,98,4,1,10.76
246,172744,20,94,5,1,28.29
247,165975,19,22,5,1,33.12
248,177334,19,124,4,1,12.76
249,168664,19,10,4,1,9.86
250,166033,19,59,5,1,16.7
251,170401,20,29,4,1,10.9
252,165993,19,36,5,1,25.78
253,172720,20,74,5,1,23.41
254,175420,19,126,5,1,22.38
255,178580,20,110,4,1,8.6
256,174259,20,99,4,1,9.36
257,170412,20,43,4,1,9.97
258,167786,20,24,5,1,16.67
259,174276,20,85,4,1,8.03
260,179664,20,2,4,1,8.7
261,167753,20,40,5,1,25.22
262,168652,19,41,4,1,10.62
263,168662,19,53,4,1,10.26
264,176684,20,117,5,1,22.85
265,170418,20,36,4,1,9.4
266,165998,19,63,5,1,21.97
267,170402,20,38,4,1,9.9
