unique_id,indicator_id,name,measure,measure_info,geo_type_name,geo_join_id,geo_place_name,time_period,start_date,data_value,year,month,quarter,indicator_category
874849,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,410,South Ozone Park and Howard Beach (CD10),Summer 2023,2023-06-01,8.508712667,2023,6,2,Air Quality Indicator
874410,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,104,Pelham - Throgs Neck,Summer 2023,2023-06-01,9.229392964,2023,6,2,Air Quality Indicator
878224,386,Ozone (O3),Mean,ppb,UHF42,306,Chelsea - Clinton,Summer 2023,2023-06-01,28.35317493,2023,6,2,Air Quality Indicator
874485,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,303,East Harlem,Summer 2023,2023-06-01,9.187970378,2023,6,2,Air Quality Indicator
877089,375,Nitrogen dioxide (NO2),Mean,ppb,Citywide,1,New York City,Summer 2023,2023-06-01,11.86882363,2023,6,2,Air Quality Indicator
874422,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,504,South Beach - Tottenville,Summer 2023,2023-06-01,8.221625406,2023,6,2,Air Quality Indicator
874577,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF34,401,Long Island City - Astoria,Summer 2023,2023-06-01,9.441759835,2023,6,2,Air Quality Indicator
876855,375,Nitrogen dioxide (NO2),Mean,ppb,Borough,4,Queens,Summer 2023,2023-06-01,11.54967618,2023,6,2,Air Quality Indicator
878170,386,Ozone (O3),Mean,ppb,CD,101,Financial District (CD1),Summer 2023,2023-06-01,29.71969051,2023,6,2,Air Quality Indicator
878171,386,Ozone (O3),Mean,ppb,Citywide,1,New York City,Summer 2023,2023-06-01,35.53951634,2023,6,2,Air Quality Indicator
878199,386,Ozone (O3),Mean,ppb,UHF34,203,Bedford Stuyvesant - Crown Heights,Summer 2023,2023-06-01,36.15812507,2023,6,2,Air Quality Indicator
878238,386,Ozone (O3),Mean,ppb,UHF42,203,Bedford Stuyvesant - Crown Heights,Summer 2023,2023-06-01,36.15812507,2023,6,2,Air Quality Indicator
874502,365,Fine particles (PM 2.5),Mean,mcg/m3,CD,110,Central Harlem (CD10),Summer 2023,2023-06-01,9.182091417,2023,6,2,Air Quality Indicator
878169,386,Ozone (O3),Mean,ppb,CD,102,Greenwich Village and Soho (CD2),Summer 2023,2023-06-01,28.97905331,2023,6,2,Air Quality Indicator
874338,365,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,201,Greenpoint,Summer 2023,2023-06-01,9.490783626,2023,6,2,Air Quality Indicator
